# year ci95
1954 0.064988475
2018 0.053858329
1963 0.063094146
1999 0.06042735
1911 0.112624649
1991 0.050009989
2015 0.055854086
1919 0.121791353
1884 0.14124899
1918 0.121904471
1902 0.112175237
1886 0.150959251
1921 0.113041567
2007 0.060356694
1973 0.054744057
1942 0.105704823
1952 0.067708578
1910 0.106145867
1989 0.053770518
1945 0.101956662
2020 0.053858329
1896 0.120070526
2004 0.045183646
1887 0.136045567
1988 0.045177664
1890 0.123244119
1964 0.059571774
1919 0.121791353
2000 0.049245507
1946 0.08517536
1999 0.06042735
1880 0.13879495
1993 0.045275168
2012 0.047832061
1965 0.060300422
1997 0.044942643
1936 0.11255605
1925 0.112214288
1917 0.133495985
1962 0.067008064
1948 0.079781094
1982 0.052236643
1882 0.137395995
2005 0.0495358
1903 0.117630542
1971 0.059298592
1940 0.106837676
1972 0.062316326
1946 0.08517536
1981 0.061216565
2012 0.047832061
1897 0.122144738
1945 0.101956662
1930 0.114527962
1899 0.121364603
1916 0.123779826
1904 0.114735627
1885 0.147067403
1949 0.076579571
1924 0.110877093
1916 0.123779826
2020 0.053858329
2012 0.047832061
2009 0.041645837
1995 0.052285916
1941 0.115460102
1884 0.14124899
2003 0.047386003
1910 0.106145867
1908 0.113683382
1880 0.13879495
1922 0.109942269
1974 0.050536581
1945 0.101956662
1945 0.101956662
2005 0.0495358
1923 0.105604635
1956 0.073020037
2009 0.041645837
1880 0.13879495
1996 0.040232837
1975 0.054742364
1940 0.106837676
1966 0.062573536
1939 0.107266448
1919 0.121791353
1973 0.054744057
2013 0.048508744
1954 0.064988475
1992 0.044579052
1962 0.067008064
2005 0.0495358
1996 0.040232837
1950 0.065537063
1984 0.044015649
1917 0.133495985
1995 0.052285916
1925 0.112214288
1980 0.0457044
1977 0.050638394
2019 0.053858329
1932 0.11426012
1938 0.114211681
1956 0.073020037
1938 0.114211681
1928 0.115520581
1980 0.0457044
1998 0.044228497
1961 0.065473797
1967 0.064552943
1953 0.065934291
1933 0.110085615
1896 0.120070526
1980 0.0457044
1926 0.109332737
1891 0.122831777
1883 0.136249894
2006 0.051779635
1909 0.118781832
1928 0.115520581
1950 0.065537063
1891 0.122831777
1933 0.110085615
1881 0.134320442
2007 0.060356694
1950 0.065537063
1905 0.115250924
1928 0.115520581
1949 0.076579571
2018 0.053858329
1957 0.068761792
2011 0.050031239
1881 0.134320442
1917 0.133495985
1926 0.109332737
1904 0.114735627
1914 0.113526484
1973 0.054744057
2000 0.049245507
1956 0.073020037
1996 0.040232837
1902 0.112175237
